% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
0,3.10E-21,1.90E-21,1.37E-21,9.60E-22,6.78E-22
1,4.96E-20,3.34E-20,2.35E-20,1.73E-20,1.19E-20
2,8.37E-20,5.52E-20,4.02E-20,2.84E-20,2.01E-20
3,1.20E-19,8.10E-20,5.64E-20,4.37E-20,2.99E-20
4,1.57E-19,1.05E-19,7.48E-20,5.55E-20,3.88E-20
5,1.95E-19,1.30E-19,9.25E-20,7.10E-20,5.02E-20
6,2.35E-19,1.54E-19,1.13E-19,8.28E-20,5.80E-20
7,2.69E-19,1.76E-19,1.25E-19,9.55E-20,6.54E-20
8,3.24E-19,2.11E-19,1.58E-19,1.14E-19,8.15E-20
9,3.57E-19,2.22E-19,1.65E-19,1.22E-19,8.61E-20
10,4.04E-19,2.62E-19,1.82E-19,1.40E-19,9.90E-20
11,4.29E-19,2.78E-19,2.04E-19,1.45E-19,1.08E-19
12,4.88E-19,3.28E-19,2.38E-19,1.71E-19,1.21E-19
13,5.47E-19,3.45E-19,2.56E-19,1.84E-19,1.32E-19
14,5.72E-19,3.71E-19,2.74E-19,1.98E-19,1.39E-19
15,6.10E-19,4.11E-19,2.87E-19,2.19E-19,1.51E-19
16,6.70E-19,4.30E-19,3.19E-19,2.26E-19,1.63E-19
17,7.14E-19,4.51E-19,3.34E-19,2.43E-19,1.66E-19
18,7.72E-19,4.72E-19,3.56E-19,2.62E-19,1.80E-19
19,7.84E-19,5.22E-19,3.65E-19,2.79E-19,1.93E-19
20,8.58E-19,5.61E-19,4.05E-19,2.93E-19,2.02E-19
21,9.20E-19,5.75E-19,4.34E-19,3.04E-19,2.15E-19
22,9.44E-19,5.90E-19,4.38E-19,3.03E-19,2.24E-19
23,9.90E-19,6.24E-19,4.59E-19,3.24E-19,2.33E-19
24,1.06E-18,6.55E-19,4.83E-19,3.52E-19,2.45E-19
25,1.09E-18,6.89E-19,4.95E-19,3.62E-19,2.57E-19
26,1.18E-18,7.17E-19,5.25E-19,3.86E-19,2.70E-19
27,1.20E-18,7.71E-19,5.28E-19,4.00E-19,2.79E-19
28,1.26E-18,7.71E-19,5.36E-19,4.01E-19,2.80E-19
29,1.33E-18,8.09E-19,5.85E-19,4.17E-19,2.91E-19
30,1.43E-18,8.42E-19,6.04E-19,4.41E-19,3.14E-19
31,1.50E-18,8.90E-19,5.99E-19,4.52E-19,3.14E-19
32,1.59E-18,9.51E-19,6.71E-19,4.82E-19,3.45E-19
33,1.65E-18,9.68E-19,6.84E-19,4.82E-19,3.49E-19
34,1.76E-18,1.03E-18,7.02E-19,5.11E-19,3.51E-19
35,1.80E-18,1.03E-18,7.18E-19,5.24E-19,3.59E-19
36,1.96E-18,1.05E-18,7.42E-19,5.37E-19,3.76E-19
37,2.00E-18,1.06E-18,7.31E-19,5.55E-19,3.78E-19
38,2.19E-18,1.19E-18,7.90E-19,5.95E-19,4.02E-19
