% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
0,3.18E-21,1.94E-21,1.49E-21,9.60E-22,7.12E-22
1,9.14E-21,5.93E-21,4.49E-21,3.01E-21,2.19E-21
2,1.46E-20,9.58E-21,7.26E-21,4.85E-21,3.54E-21
3,3.14E-20,2.07E-20,1.57E-20,1.06E-20,7.70E-21
4,5.48E-20,3.64E-20,2.76E-20,1.87E-20,1.36E-20
5,8.76E-20,5.82E-20,4.41E-20,3.02E-20,2.20E-20
6,1.24E-19,8.21E-20,6.23E-20,4.29E-20,3.14E-20
7,1.62E-19,1.07E-19,8.13E-20,5.64E-20,4.14E-20
8,2.01E-19,1.32E-19,1.01E-19,6.99E-20,5.13E-20
9,2.41E-19,1.57E-19,1.21E-19,8.34E-20,6.13E-20
10,2.83E-19,1.83E-19,1.42E-19,9.71E-20,7.16E-20
11,3.25E-19,2.08E-19,1.62E-19,1.11E-19,8.20E-20
12,3.68E-19,2.35E-19,1.82E-19,1.24E-19,9.29E-20
13,4.10E-19,2.63E-19,2.03E-19,1.38E-19,1.04E-19
14,4.55E-19,2.93E-19,2.27E-19,1.52E-19,1.15E-19
15,5.00E-19,3.23E-19,2.51E-19,1.68E-19,1.26E-19
16,5.46E-19,3.53E-19,2.75E-19,1.84E-19,1.37E-19
17,5.91E-19,3.82E-19,2.97E-19,2.00E-19,1.48E-19
18,6.37E-19,4.10E-19,3.19E-19,2.15E-19,1.58E-19
19,6.84E-19,4.37E-19,3.41E-19,2.30E-19,1.68E-19
20,7.32E-19,4.64E-19,3.63E-19,2.45E-19,1.78E-19
21,7.79E-19,4.94E-19,3.85E-19,2.61E-19,1.89E-19
22,8.28E-19,5.26E-19,4.10E-19,2.76E-19,2.01E-19
23,8.77E-19,5.57E-19,4.35E-19,2.89E-19,2.13E-19
24,9.28E-19,5.85E-19,4.59E-19,3.01E-19,2.24E-19
25,9.75E-19,6.10E-19,4.81E-19,3.14E-19,2.35E-19
26,1.03E-18,6.37E-19,5.01E-19,3.29E-19,2.46E-19
27,1.08E-18,6.69E-19,5.21E-19,3.46E-19,2.58E-19
28,1.13E-18,7.02E-19,5.41E-19,3.64E-19,2.70E-19
29,1.19E-18,7.35E-19,5.60E-19,3.81E-19,2.80E-19
30,1.25E-18,7.66E-19,5.79E-19,3.95E-19,2.90E-19
31,1.31E-18,7.97E-19,6.00E-19,4.08E-19,3.00E-19
32,1.38E-18,8.30E-19,6.24E-19,4.22E-19,3.11E-19
33,1.46E-18,8.67E-19,6.50E-19,4.38E-19,3.24E-19
34,1.54E-18,9.10E-19,6.79E-19,4.56E-19,3.39E-19
35,1.62E-18,9.52E-19,7.09E-19,4.73E-19,3.52E-19
36,1.71E-18,9.93E-19,7.37E-19,4.90E-19,3.63E-19
37,1.79E-18,1.03E-18,7.60E-19,5.07E-19,3.72E-19
38,1.89E-18,1.06E-18,7.80E-19,5.24E-19,3.81E-19
39,1.99E-18,1.08E-18,7.98E-19,5.41E-19,3.91E-19
40,2.10E-18,1.12E-18,8.20E-19,5.59E-19,4.03E-19
41,2.21E-18,1.17E-18,8.46E-19,5.73E-19,4.15E-19
42,2.34E-18,1.21E-18,8.77E-19,5.87E-19,4.29E-19
43,2.47E-18,1.24E-18,9.08E-19,6.01E-19,4.41E-19
44,2.62E-18,1.28E-18,9.37E-19,6.17E-19,4.53E-19
45,2.81E-18,1.32E-18,9.64E-19,6.35E-19,4.64E-19
46,3.02E-18,1.36E-18,9.89E-19,6.52E-19,4.73E-19
47,3.27E-18,1.42E-18,1.02E-18,6.70E-19,4.82E-19
48,3.53E-18,1.46E-18,1.04E-18,6.85E-19,4.92E-19
49,3.85E-18,1.51E-18,1.06E-18,7.00E-19,5.04E-19
50,4.21E-18,1.54E-18,1.08E-18,7.12E-19,5.16E-19
51,4.64E-18,1.59E-18,1.10E-18,7.26E-19,5.28E-19
52,5.14E-18,1.65E-18,1.13E-18,7.39E-19,5.38E-19
53,5.74E-18,1.71E-18,1.16E-18,7.55E-19,5.47E-19
54,6.44E-18,1.77E-18,1.20E-18,7.70E-19,5.56E-19
55,7.26E-18,1.83E-18,1.23E-18,7.85E-19,5.65E-19
